Source Row,OFFERING_ID,Duplicate Count,PARTNER,SHOW_TITLE,PROP_EP,MPM_LEVEL1_SERIES,MPM_LEVEL2_SEASON,MPM_LEVEL3_EPISODE,CONTROLLING_NETWORK,CFPS_SHOW_ID,CFPS_SEASON_ID,EPISODE_ID,EDIT_ID,PROGRAM_START_DATE,PROGRAM_END_DATE,FIRST_PROGRAM_LAUNCH_DATE,PROGRAM_ASSET_TYPE,ASSET_TITLE_IN_PLAYLIST,PLAYLIST_BRAND,OFFERING_ID,STATUS,EAST_FEED,WEST_FEED,PAVI_ID,WM_TITLES_EDIT_ID,WM_TITLES_TITLE_ID,LAST_UPDATED,MARKET_REGION,MARKET_TERRITORY
1713,0d6988f4-8a0e-4830-b188-8763fabed5ef,2,Max,When the Levees Broke:  A Requiem in Four Acts,233489.000,,,,HBOTV,fe2c8c9e-270a-4bb4-9946-3456414f00fb,,a43569bf-16e9-47b2-b6c3-5fa2007037d2,39ce68cd-e1bc-441e-9d3e-b70586c64aad,2023-02-11 05:00:00.000,2028-02-28 04:59:00.000,2023-02-11 05:00:00.000,episode,Part 1,HBOTV,0d6988f4-8a0e-4830-b188-8763fabed5ef,UPDATE,2023-02-11 05:00:00.000,2023-02-11 02:00:00.000,PROD631100,,,2026-06-09 01:48:52.737,US,US
8695,0d6988f4-8a0e-4830-b188-8763fabed5ef,2,Max,When the Levees Broke:  A Requiem in Four Acts,233489.000,,,,HBOTV,0efe1317-8a8e-413f-b66c-ee87672012f9,0b7ceb86-b227-47d0-80c4-36eef076dddb,a43569bf-16e9-47b2-b6c3-5fa2007037d2,39ce68cd-e1bc-441e-9d3e-b70586c64aad,2023-02-11 05:00:00.000,2028-02-28 04:59:00.000,2023-02-11 05:00:00.000,episode,Part 1,HBOTV,0d6988f4-8a0e-4830-b188-8763fabed5ef,UPDATE,2023-02-11 05:00:00.000,2023-02-11 02:00:00.000,PROD631100,,,2026-06-09 01:48:52.737,US,US
14822,176e4b41-2971-4d19-87ae-4789602e4948,2,Max,Taxicab Confessions: America Undercover,277633.000,1048708,,,HBOTV,b3c5ae13-45d6-4aec-aa5d-e16fdb077080,,a83d0239-a423-4e38-9761-35c4e437b687,3eb42a43-bbd3-4bc0-a61a-7dc834529194,2024-11-27 16:00:00.000,2101-01-01 04:59:00.000,2024-11-27 16:00:00.000,episode,Taxicab Confessions: America Undercover Part 3,HBOTV,176e4b41-2971-4d19-87ae-4789602e4948,UPDATE,2024-11-27 16:00:00.000,2024-11-27 13:00:00.000,PROD564593,,,2026-06-26 12:20:40.659,US,US
16339,176e4b41-2971-4d19-87ae-4789602e4948,2,Max,Taxicab Confessions: America Undercover,277633.000,,,,HBOTV,b1bcc7c6-6cf5-4ba4-8413-6e68084ed032,42cc2514-90a3-4439-b73c-aa4da8338771,a83d0239-a423-4e38-9761-35c4e437b687,3eb42a43-bbd3-4bc0-a61a-7dc834529194,2024-11-27 16:00:00.000,2101-01-01 04:59:00.000,2024-11-27 16:00:00.000,episode,Taxicab Confessions: America Undercover Part 3,HBOTV,176e4b41-2971-4d19-87ae-4789602e4948,UPDATE,2024-11-27 16:00:00.000,2024-11-27 13:00:00.000,PROD564593,,,2026-06-26 12:20:40.659,US,US
19414,221a327c-2c0c-476d-a0db-5aa76d5415f2,2,Max,Taxicab Confessions: America Undercover,277634.000,,,,HBOTV,b1bcc7c6-6cf5-4ba4-8413-6e68084ed032,42cc2514-90a3-4439-b73c-aa4da8338771,3848535e-4642-444d-96a3-0345ed53c56c,506784a3-abd6-41ac-8c5c-3126f40ccfcf,2024-11-27 16:00:00.000,2101-01-01 04:59:00.000,2024-11-27 16:00:00.000,episode,Taxicab Confessions: America Undercover Part 1,HBOTV,221a327c-2c0c-476d-a0db-5aa76d5415f2,UPDATE,2024-11-27 16:00:00.000,2024-11-27 13:00:00.000,PROD558584,,,2026-06-26 12:20:40.702,US,US
23990,221a327c-2c0c-476d-a0db-5aa76d5415f2,2,Max,Taxicab Confessions: America Undercover,277634.000,1048708,,,HBOTV,b3c5ae13-45d6-4aec-aa5d-e16fdb077080,,3848535e-4642-444d-96a3-0345ed53c56c,506784a3-abd6-41ac-8c5c-3126f40ccfcf,2024-11-27 16:00:00.000,2101-01-01 04:59:00.000,2024-11-27 16:00:00.000,episode,Taxicab Confessions: America Undercover Part 1,HBOTV,221a327c-2c0c-476d-a0db-5aa76d5415f2,UPDATE,2024-11-27 16:00:00.000,2024-11-27 13:00:00.000,PROD558584,,,2026-06-26 12:20:40.702,US,US
8017,2a06db6e-5db7-4cce-8de9-1d7fedeac3e0,2,Max,When the Levees Broke:  A Requiem in Four Acts,233489.000,,,,HBOTV,fe2c8c9e-270a-4bb4-9946-3456414f00fb,,a43569bf-16e9-47b2-b6c3-5fa2007037d2,39ce68cd-e1bc-441e-9d3e-b70586c64aad,2026-03-26 00:00:01.000,2100-12-31 23:59:00.000,2026-02-07 00:00:00.000,episode,Part 1,HBOTV,2a06db6e-5db7-4cce-8de9-1d7fedeac3e0,UPDATE,2026-03-26 00:00:01.000,2026-03-25 21:00:01.000,PROD631100,,,2026-06-29 16:41:54.773,US,US
14299,2a06db6e-5db7-4cce-8de9-1d7fedeac3e0,2,Max,When the Levees Broke:  A Requiem in Four Acts,233489.000,,,,HBOTV,0efe1317-8a8e-413f-b66c-ee87672012f9,0b7ceb86-b227-47d0-80c4-36eef076dddb,a43569bf-16e9-47b2-b6c3-5fa2007037d2,39ce68cd-e1bc-441e-9d3e-b70586c64aad,2026-03-26 00:00:01.000,2100-12-31 23:59:00.000,2026-02-07 00:00:00.000,episode,Part 1,HBOTV,2a06db6e-5db7-4cce-8de9-1d7fedeac3e0,UPDATE,2026-03-26 00:00:01.000,2026-03-25 21:00:01.000,PROD631100,,,2026-06-29 16:41:54.773,US,US
10116,2a978f2f-e020-4c6d-b12f-cd8f49d5980a,2,Max,Euphoria,231240.000,,,,HBOTV,ef29f91d-511c-4646-abe6-532e98c5cd89,,6b4c9a9a-59c1-41ec-8063-db01a3b3c776,c0c17914-f026-48dc-8579-8670cd45e954,2025-10-25 23:00:00.000,2026-02-28 23:59:59.000,2025-10-25 23:00:00.000,episode,Euphoria: F*ck Anyone Who's Not a Sea Blob,HBOTV,2a978f2f-e020-4c6d-b12f-cd8f49d5980a,UPDATE,2025-10-25 23:00:00.000,2025-10-25 20:00:00.000,PROD821137,2442197,,2026-06-26 15:02:20.532,US,US
19909,2a978f2f-e020-4c6d-b12f-cd8f49d5980a,2,Max,Euphoria Special Episodes,231240.000,,,,HBOTV,0afbc4f2-c245-4b69-a61e-e42fe56e9cf3,9968de68-d48e-4ef2-bc6d-fd717e646957,6b4c9a9a-59c1-41ec-8063-db01a3b3c776,c0c17914-f026-48dc-8579-8670cd45e954,2025-10-25 23:00:00.000,2026-02-28 23:59:59.000,2025-10-25 23:00:00.000,episode,Euphoria: F*ck Anyone Who's Not a Sea Blob,HBOTV,2a978f2f-e020-4c6d-b12f-cd8f49d5980a,UPDATE,2025-10-25 23:00:00.000,2025-10-25 20:00:00.000,PROD821137,2442197,,2026-06-26 15:02:20.532,US,US
2850,2b41ffe2-9c76-4cf3-833e-8502c040f44b,2,Max,A Knight of the Seven Kingdoms Podcast,291373.000,,,,HBOTV,45c37192-56a9-4125-912b-1fb4b362ca32,c0e8377a-d878-4d71-ab5b-ff23cd854eb8,c61ad692-0e95-43da-ac57-04cc26f0a576,2da79c30-cfc4-4fd9-9507-ee86ea5c6315,2026-06-17 00:01:00.000,2099-12-31 22:59:00.000,2026-06-17 00:01:00.000,episode,Bonus Episode: The 15 Year Anniversary of Game of Thrones,HBOTV,2b41ffe2-9c76-4cf3-833e-8502c040f44b,UPDATE,2026-06-17 00:01:00.000,2026-06-16 21:01:00.000,,,,2026-07-02 14:58:21.647,US,US
8669,2b41ffe2-9c76-4cf3-833e-8502c040f44b,2,Max,Bonus Episode: The 15 Year Anniversary of Game of Thrones,291373.000,,,,HBOTV,1ff2c844-19c1-40ee-bcc6-b95292a936b2,,c61ad692-0e95-43da-ac57-04cc26f0a576,2da79c30-cfc4-4fd9-9507-ee86ea5c6315,2026-06-17 00:01:00.000,2099-12-31 22:59:00.000,2026-06-17 00:01:00.000,episode,Bonus Episode: The 15 Year Anniversary of Game of Thrones,HBOTV,2b41ffe2-9c76-4cf3-833e-8502c040f44b,UPDATE,2026-06-17 00:01:00.000,2026-06-16 21:01:00.000,,,,2026-07-02 14:58:21.647,US,US
